Date,Open,High,Low,Close,Adj Close,Volume
11/11/2021,1650,1704,1640.849976,1664.900024,1664.192627,4470709
11/12/2021,1678.300049,1719.5,1670.099976,1705.199951,1704.475342,5349189
11/15/2021,1713.75,1764,1691.800049,1749.550049,1748.806641,3997553
11/16/2021,1759.449951,1766.550049,1706.900024,1711.599976,1710.872681,2172117
11/17/2021,1714,1729.699951,1682.5,1706.449951,1705.724854,1476385
11/18/2021,1708,1714,1640,1688.75,1688.032471,2255988
11/22/2021,1691.400024,1701.400024,1610.050049,1675.75,1675.037964,2552170
11/23/2021,1660.150024,1720.349976,1650,1707.949951,1707.224243,2472589
11/24/2021,1721.599976,1788.900024,1712.449951,1755.150024,1754.404175,4562858
11/25/2021,1762.949951,1773.699951,1735.550049,1763.050049,1762.300903,2341862
11/26/2021,1740,1768.550049,1660.849976,1669.550049,1668.840576,3510810
11/29/2021,1655,1697,1609.849976,1665.050049,1664.342529,2119826
11/30/2021,1668,1718.650024,1648.150024,1662.849976,1662.143433,2952368
12/1/2021,1694,1705,1652.349976,1693.300049,1692.580566,2476360
12/2/2021,1692.5,1735,1687.650024,1732.25,1731.513916,2159661
12/3/2021,1734,1745,1701.099976,1708.099976,1707.374146,1544077
12/6/2021,1710,1727.949951,1640,1645.599976,1644.900757,1574680
12/7/2021,1658.900024,1686.699951,1654,1678.449951,1677.736694,1476012
12/8/2021,1679.800049,1726.400024,1679.050049,1715.5,1714.770996,1406394
12/9/2021,1725,1739.25,1706.599976,1722.25,1721.518188,1306393
12/10/2021,1710.599976,1788,1710.599976,1740.400024,1739.660522,2708578
12/13/2021,1755,1762.199951,1711.099976,1719.550049,1718.819336,1104594
12/14/2021,1712,1727.900024,1683,1720.099976,1719.369019,1198653
12/15/2021,1720,1727,1687.050049,1695.300049,1694.579712,866378
12/16/2021,1707.300049,1719.849976,1687,1702.050049,1701.326782,751885
12/17/2021,1698.949951,1702,1640,1645.300049,1644.600952,1215873
12/20/2021,1629,1629,1555.199951,1589.949951,1589.274292,1945211
12/21/2021,1621.099976,1645.900024,1602.900024,1620.5,1619.811401,1563851
12/22/2021,1631.25,1663.449951,1627,1658.099976,1657.395386,993006
12/23/2021,1674.699951,1684.199951,1658.199951,1676.199951,1675.487671,979023
12/24/2021,1680,1703.949951,1658.199951,1698.199951,1697.478394,1234386
12/27/2021,1694.75,1738,1686.050049,1730.199951,1729.464722,1672655
12/28/2021,1740,1760,1728.099976,1751,1750.255981,1552918
12/29/2021,1751,1755,1709.400024,1718.050049,1717.320068,1100579
12/30/2021,1714,1725,1685,1696.400024,1695.679199,1359574
12/31/2021,1694.949951,1725,1691.050049,1709.449951,1708.723511,1310960
1/3/2022,1713,1733,1711.199951,1717.150024,1716.42041,1094708
1/4/2022,1725.75,1728,1700,1719,1718.269531,1191189
1/5/2022,1722,1744.650024,1702.550049,1715.449951,1714.721069,1583598
1/6/2022,1710,1723.849976,1675.599976,1713.099976,1712.37207,1615375
1/7/2022,1719.900024,1730.800049,1689.5,1699.099976,1698.378052,1295933
1/10/2022,1707.550049,1766,1699.099976,1752.599976,1751.855225,1670551
1/11/2022,1758,1850,1737,1843.900024,1843.116455,5126019
1/12/2022,1873,1873,1808.300049,1830.099976,1829.322388,2518912
1/13/2022,1834,1863,1808,1853.349976,1852.5625,1881069
1/14/2022,1850,1890.449951,1831.099976,1870.25,1869.455322,2357616
1/17/2022,1876,1901.400024,1855.650024,1877.800049,1877.002075,1700525
1/18/2022,1885,1908.5,1830.050049,1840.949951,1840.167725,2294146
1/19/2022,1839.800049,1857,1811.25,1849.300049,1848.514282,1544606
1/20/2022,1855,1880.349976,1843.699951,1865.849976,1865.057129,1252017
1/21/2022,1860.849976,1873,1810.75,1828.349976,1827.57312,1929667
1/24/2022,1822,1827.449951,1696.550049,1715.800049,1715.070923,2381112
1/25/2022,1668,1750.550049,1668,1741.400024,1740.660034,1817963
1/27/2022,1718,1725.550049,1654.5,1686,1685.283569,3549583
1/28/2022,1702.5,1744.099976,1683.949951,1693.699951,1692.980225,1624750
1/31/2022,1708.949951,1734,1705,1714.949951,1714.221191,1024738
2/1/2022,1727.949951,1765.099976,1699.150024,1746.900024,1746.157715,1574361
2/2/2022,1755,1786,1747,1779.349976,1778.593872,1405276
2/3/2022,1771.949951,1787,1746.400024,1751.849976,1751.105591,588866
2/4/2022,1758,1770,1733.699951,1757.300049,1756.553345,855996
2/7/2022,1765,1765.5,1722.099976,1731.800049,1731.064209,854871
2/8/2022,1739.400024,1747,1677.050049,1716,1715.270874,1480201
2/9/2022,1724.599976,1791.900024,1718.099976,1783.150024,1782.392334,1674022
2/10/2022,1799,1809,1766,1786.099976,1785.341064,1747943
2/11/2022,1764,1774.900024,1743.349976,1764.300049,1763.550415,1196002
2/14/2022,1736.300049,1737.900024,1653,1663.949951,1663.24292,1919476
2/15/2022,1636,1751.400024,1627.849976,1744.25,1743.508789,2261554
2/16/2022,1744.25,1776,1730,1738.099976,1737.36145,1663614
2/17/2022,1750,1762,1724,1730.949951,1730.214478,1075487
2/18/2022,1739,1754.599976,1725,1736.300049,1735.562256,945100
2/21/2022,1738.800049,1738.800049,1671.300049,1685.199951,1684.483887,1449291
2/22/2022,1636.099976,1678.900024,1630,1667.699951,1666.991333,1717579
2/23/2022,1682,1717.5,1670,1688.699951,1687.982422,1285012
2/24/2022,1626,1648.599976,1528.800049,1543.949951,1543.293945,2798065
2/25/2022,1594,1638.099976,1578.800049,1618.699951,1618.012085,1741584
2/28/2022,1603.75,1651.099976,1592.25,1644.449951,1643.751221,1869037
3/2/2022,1638,1664.25,1615.5,1641.800049,1641.102417,1249817
3/3/2022,1670,1678.199951,1634.949951,1643.800049,1643.101563,1333325
3/4/2022,1621.800049,1655.5,1601.199951,1615,1614.313721,1433490
3/7/2022,1590,1592,1539.300049,1564.050049,1563.385498,1508821
3/8/2022,1574.900024,1607.400024,1553.400024,1601.599976,1600.919434,1396347
3/9/2022,1609.599976,1669.949951,1608,1656.550049,1655.846191,1498176
3/10/2022,1682,1749.599976,1678.25,1742.849976,1742.109375,2294474
3/11/2022,1750,1757,1721.199951,1734.099976,1733.363159,1354129
3/14/2022,1732,1752.449951,1722.449951,1736.099976,1735.362305,659190
3/15/2022,1740,1754.199951,1686.650024,1701.400024,1700.677002,1085901
3/16/2022,1724,1764,1718.650024,1758,1757.25293,1269866
3/17/2022,1775.599976,1823.599976,1760,1819.650024,1818.876831,2392329
3/21/2022,1836.050049,1841.900024,1796.150024,1802.949951,1802.183838,1081052
3/22/2022,1802.949951,1837,1790,1831.550049,1830.771729,964066
3/23/2022,1848.050049,1848.050049,1800.849976,1811,1810.230469,1553366
3/24/2022,1815,1839.550049,1800.150024,1832.800049,1832.02124,1030145
3/25/2022,1835.550049,1878,1822,1867,1866.206665,1366115
3/28/2022,1876.900024,1924.400024,1851.050049,1909.699951,1908.888428,1895438
3/29/2022,1919.25,1930.900024,1885.5,1917.25,1916.435303,1715098
3/30/2022,1927.699951,2015,1917.300049,1995.25,1994.402222,3215951
3/31/2022,2005,2042,1991,2014.75,2013.893921,2786973
4/1/2022,2018,2049,2013.050049,2043.650024,2042.781616,1267111
4/4/2022,2050,2075.5,2032,2065.850098,2064.972168,1334265
4/5/2022,2078,2189.800049,2067.600098,2139.850098,2138.940918,4970260
